iter	Logloss
216	0.5330027291
217	0.5329684623
218	0.5329455218
219	0.5329012015
220	0.5328640311
221	0.5328294416
222	0.5327908674
223	0.532768267
224	0.5327302769
225	0.5326998378
226	0.5326655012
227	0.5326342599
228	0.5325926252
229	0.5325611311
230	0.5325437186
231	0.5324918649
232	0.5324565255
233	0.5324318586
234	0.5324041922
235	0.5323704224
236	0.5323401228
237	0.5323054548
238	0.532279044
239	0.53225
240	0.5322135533
241	0.5321787894
242	0.5321316267
243	0.532107945
244	0.5320994263
245	0.5320687605
246	0.5320365513
247	0.5320143258
248	0.5319708601
249	0.5319369332
250	0.5319159197
251	0.5318856114
252	0.5318552159
253	0.5318329729
254	0.5318073643
255	0.5317802473
256	0.5317557809
257	0.5317278268
258	0.5316899937
259	0.5316620483
260	0.5316347307
261	0.5316117205
262	0.5316005511
263	0.5315771048
264	0.531538487
265	0.5315131138
266	0.5314780361
267	0.531442252
268	0.5314126761
269	0.5313886021
270	0.5313645281
271	0.5313381522
272	0.5313163103
273	0.5312804827
274	0.5312531738
275	0.5312330322
276	0.531212786
277	0.5311809344
278	0.531161438
279	0.5311345564
280	0.5311065238
281	0.5310812814
282	0.5310495693
283	0.5310276576
284	0.531001055
285	0.5309627424
286	0.5309240723
287	0.5309045846
288	0.5308735613
289	0.5308557216
290	0.5308329729
291	0.5307959508
292	0.5307528163
293	0.5307140241
294	0.5306948242
295	0.5306623622
296	0.5306389073
297	0.5306034023
298	0.5305834002
299	0.5305599801
300	0.530523019
301	0.5305082397
302	0.5304746791
303	0.5304571969
304	0.5304290946
305	0.5303944266
306	0.5303827166
307	0.5303529489
308	0.5303254569
309	0.5303078265
310	0.5302819127
311	0.5302536708
312	0.5302360229
313	0.5302036482
314	0.530177002
315	0.530158456
316	0.5301271275
317	0.5300848563
318	0.5300576346
319	0.5300339443
320	0.530023795
321	0.5299980382
322	0.5299775565
323	0.5299603969
324	0.5299489049
325	0.5299214303
326	0.52989454
327	0.5298551287
328	0.5298464355
329	0.5298116978
330	0.5297843977
331	0.529751552
332	0.5297105451
333	0.5296860439
334	0.5296530064
335	0.5296184344
336	0.5295979353
337	0.5295767909
338	0.5295594831
339	0.5295267508
340	0.5295050485
341	0.5294822998
342	0.5294574062
343	0.529436724
344	0.5294092233
345	0.5293840332
346	0.529356672
347	0.5293281773
348	0.5293036761
349	0.5292889579
350	0.5292756086
351	0.5292421875
352	0.5292214791
353	0.5291925049
354	0.5291605225
355	0.5291294992
356	0.5290927211
357	0.5290714286
358	0.5290569022
359	0.5290372576
360	0.5290140991
361	0.5289917864
362	0.5289675467
363	0.5289443011
364	0.528919948
365	0.5288948887
366	0.5288723842
367	0.5288443865
368	0.5288319441
369	0.528802499
370	0.5287838745
371	0.528772025
372	0.5287586844
373	0.5287230748
374	0.528701852
375	0.5286846837
376	0.5286543841
377	0.5286384277
378	0.5286286011
379	0.5286025565
380	0.5285816127
381	0.5285581403
382	0.5285263062
383	0.5285025722
384	0.5284817941
385	0.5284568394
386	0.5284323818
387	0.5284148472
388	0.528402989
389	0.5283964844
390	0.5283687831
391	0.5283481794
392	0.5283149152
393	0.5282848772
394	0.5282643084
395	0.5282470878
396	0.5282308175
397	0.5282024623
398	0.5281865845
399	0.5281608538
400	0.5281430141
401	0.5281308245
402	0.5281152518
403	0.5280917533
404	0.5280774449
405	0.528045942
406	0.5280137678
407	0.5279980818
408	0.5279763968
409	0.527949585
410	0.5279349627
411	0.5279049595
412	0.5278862653
413	0.5278690796
414	0.5278582066
415	0.5278415876
416	0.5278236694
417	0.527804269
418	0.5277798636
419	0.527762861
420	0.5277323696
421	0.5277050694
422	0.5276939087
423	0.5276605399
424	0.5276303885
425	0.5275978045
426	0.5275727975
427	0.5275489328
428	0.5275356358
429	0.5275116752
430	0.5274818726
431	0.5274570487
432	0.5274321463
433	0.5274209943
434	0.5274014631
435	0.5273777815
436	0.5273466187
437	0.5273294939
438	0.5272879028
439	0.5272577776
440	0.527228969
441	0.5271948504
442	0.5271674107
443	0.527157959
444	0.5271382098
445	0.5271240845
446	0.5270985718
447	0.5270842198
448	0.527059858
449	0.5270397252
450	0.5270114397
451	0.5270002093
452	0.5269754203
453	0.5269527152
454	0.526926845
455	0.5269051165
456	0.5268888986
457	0.5268622349
458	0.5268356934
459	0.5268065273
460	0.5267819388
461	0.5267577253
462	0.5267290039
463	0.5267018694
464	0.526678275
465	0.526653826
466	0.5266366141
467	0.5266218349
468	0.5265935495
469	0.5265692836
470	0.5265452183
471	0.5265259574
472	0.526519165
473	0.5265098528
474	0.5264904088
475	0.5264745571
476	0.5264564645
477	0.5264414586
478	0.5264235927
479	0.526393049
480	0.5263755493
481	0.5263591745
482	0.526341544
483	0.5263073643
484	0.5262833688
485	0.5262532697
486	0.5262408622
487	0.5262004046
488	0.5261781791
489	0.5261737497
490	0.5261469814
491	0.5261193499
492	0.5260999581
493	0.5260749337
494	0.5260630406
495	0.5260342669
496	0.5260243792
497	0.5259998082
498	0.5259810268
499	0.5259580776
